stock_id,stock_name,reason
1259,安心,股東常會
1565,精華,股東常會
1570,力肯,股東常會
2070,精湛,股東常會
2640,大車隊,股東常會
2726,雅茗-KY,除息
2916,滿心,股東常會
3083,網龍,股東常會
3105,穩懋,股東常會
3141,晶宏,股東常會
3147,大綜,股東常會
3169,亞信,股東常會
3206,志豐,股東常會
3211,順達,股東常會
3213,茂訊,股東常會
3217,優群,股東常會
3221,台嘉碩,股東常會
3227,原相,股東常會
3228,金麗科,股東常會
3265,台星科,股東常會
3272,東碩,股東常會
3289,宜特,除息
3289,宜特,股東常會
3290,東浦,股東常會
3306,鼎天,股東常會
3322,建舜電,股東常會
3323,加百裕,股東常會
3324,雙鴻,股東常會
3373,熱映,股東常會
3527,聚積,股東常會
3529,力旺,股東常會
3577,泓格,股東常會
3611,鼎翰,股東常會
3646,艾恩特,股東常會
3663,鑫科,股東常會
3664,安瑞-KY,股東常會
3666,光耀,股東常會
3672,康聯訊,股東常會
4105,東洋,股東常會
4116,明基醫,股東常會
4138,曜亞,股東常會
4167,松瑞藥,股東常會
4168,醣聯,股東常會
4171,瑞基,股東常會
4173,久裕,股東常會
4416,三圓,股東常會
4417,金洲,股東常會
4429,聚紡,股東常會
4510,高鋒,股東常會
4523,永彰,股東常會
4527,方土霖,股東常會
4549,桓達,股東常會
4550,長佳,股東常會
4556,旭然,股東常會
4711,永純,股東常會
4974,亞泰,股東常會
4995,晶達,股東常會
5013,強新,股東常會
5016,松和,股東常會
5272,笙科,股東常會
5353,台林,股東常會
5371,中光電,股東常會
5386,青雲,股東常會
5410,國眾,股東常會
5443,均豪,股東常會
5481,新華,股東常會
5489,彩富,股東常會
5512,力麒,股東常會
5523,豐謙,股東常會
5609,中菲行,股東常會
5820,日盛金,股東常會
6123,上奇,股東常會
6146,耕興,股東常會
6148,驊宏資,除息
6150,撼訊,股東常會
6156,松上,股東常會
6161,捷波,股東常會
6170,統振,股東常會
6188,廣明,股東常會
6194,育富,股東常會
6207,雷科,股東常會
6208,日揚,股東常會
6212,理銘,股東常會
6227,茂綸,股東常會
6233,旺玖,股東常會
6234,高僑,股東常會
6261,久元,股東常會
6263,普萊德,股東常會
6294,智基,股東常會
6411,晶焱,股東常會
6486,互動,股東常會
6510,精測,股東常會
6523,達爾膚,除息
6523,達爾膚,股東常會
6532,瑞耘,股東常會
6538,倉和,股東常會
6548,長科*,股東常會
6561,是方,股東常會
6577,勁豐,股東常會
6578,達邦蛋白,股東常會
6596,寬宏藝術,股東常會
6612,奈米醫材,股東常會
6747,亨泰光,股東常會
8024,佑華,股東常會
8027,鈦昇,除息
8034,榮群,股東常會
8042,金山電,股東常會
8044,網家,股東常會
8048,德勝,股東常會
8086,宏捷科,股東常會
8089,康全電訊,股東常會
8111,立碁,股東常會
8182,加高,股東常會
8415,大國鋼,股東常會
8426,紅木-KY,股東常會
8435,鉅邁,股東常會
8908,欣雄,除息
8908,欣雄,股東常會
8923,時報,股東常會
8933,愛地雅,現金增資
9960,邁達康,股東常會
