stock_id,stock_name,reason
1268,漢來美食,除息
1565,精華,除息
1752,南光,除息
1785,光洋科,除息
2065,世豐,除權息
2066,世德,除息
2221,大甲,除息
2230,泰茂,除息
2596,綠意,除息
3078,僑威,除息
3093,港建*,除息
3128,昇銳,除息
3169,亞信,除息
3226,龍鋒,除息
3236,千如,除息
3285,微端,除息
3290,東浦,除息
3294,英濟,除息
3317,尼克森,除息
3441,聯一光,除息
3455,由田,除息
3489,森寶,除息
3531,先益,除息
3546,宇峻,除權息
3551,世禾,除息
3556,禾瑞亞,除權息
3609,三一東林,除息
3685,元創精密,除息
3691,碩禾,臨時會
4121,優盛,除息
4139,馬光-KY,除息
4303,信立,除息
4401,東隆興,除息
4506,崇友,除息
4527,方土霖,除息
4541,晟田,除息
4549,桓達,除權息
4550,長佳,除息
4568,科際精密,除息
4580,捷流閥業,除息
4744,皇將,除息
4905,台聯電,除息
4909,新復興,除息
5011,久陽,臨時會
5013,強新,除息
5206,坤悅,除息
5398,慕康生醫,除息
5425,台半,除息
5438,東友,臨時會
5438,東友,除息
5452,佶優,除息
5457,宣德,除息
5478,智冠,除息
5481,新華,除息
5514,三豐,除息
5530,龍巖,除息
5601,台聯櫃,除息
5609,中菲行,除權
6114,久威,除息
6156,松上,除息
6180,橘子,除息
6194,育富,除息
6245,立端,除息
6261,久元,除息
6279,胡連,除息
6418,詠昇,除息
6441,廣錠,除權
6469,大樹,除權
6486,互動,除息
6508,惠光,除息
6538,倉和,除息
6683,雍智科技,除息
8032,光菱,除息
8043,蜜望實,除息
8047,星雲,除息
8049,晶采,除息
8071,能率網通,除息
8147,正淩,除息
8358,金居,除息
8406,金可-KY,除息
8410,森田,除息
8431,匯鑽科,除息
8489,三貝德,除息
