stock_id,stock_name,reason,category,start_date,end_date
1312,國喬,股東常會,公司活動,111.03.14,111.03.17
1342,八貫,股東常會,公司活動,111.03.11,111.03.16
1504,東元,股東常會,公司活動,111.03.14,111.03.17
1708,東鹼,股東常會,公司活動,111.03.14,111.03.17
2101,南港,股東常會,公司活動,111.03.11,111.03.16
2301,光寶科,股東常會,公司活動,111.03.14,111.03.17
2301,光寶科,除息,股利發放,111.03.14,111.03.17
2342,茂矽,股東常會,公司活動,111.03.11,111.03.16
2637,慧洋-KY,股東常會,公司活動,111.03.14,111.03.17
2812,台中銀,股東常會,公司活動,111.03.11,111.03.16
2913,農林,股東常會,公司活動,111.03.14,111.03.17
3036,文曄,股東常會,公司活動,111.03.14,111.03.17
3338,泰碩,股東常會,公司活動,111.03.14,111.03.17
3443,創意,股東常會,公司活動,111.03.11,111.03.16
4571,鈞興-KY,股東常會,公司活動,111.03.14,111.03.17
4930,燦星網,減資,資本活動,111.03.11,111.03.16
5225,東科-KY,除息,股利發放,111.03.16,111.03.21
5283,禾聯碩,除息,股利發放,111.03.11,111.03.16
5306,桂盟,除息,股利發放,111.03.11,111.03.16
5871,中租-KY,股東常會,公司活動,111.03.14,111.03.17
6251,定穎,股東常會,公司活動,111.03.14,111.03.17
8454,富邦媒,股東常會,公司活動,111.03.14,111.03.17
9105,泰金寶-DR,股東常會,公司活動,111.03.11,111.03.16
9105,泰金寶-DR,除權息,股利發放,111.03.11,111.03.16
9940,信義,股東常會,公司活動,111.03.11,111.03.16
