stock_id,stock_name,reason,category,start_date,end_date
0052,富邦科技,分配收益,股利發放,111.04.14,111.04.19
1210,大成,股東常會,公司活動,111.04.11,111.04.14
1210,大成,除息,股利發放,111.04.11,111.04.14
1219,福壽,股東常會,公司活動,111.04.11,111.04.14
1315,達新,股東常會,公司活動,111.04.11,111.04.14
1315,達新,除息,股利發放,111.04.11,111.04.14
1319,東陽,股東常會,公司活動,111.04.11,111.04.14
1414,東和,股東常會,公司活動,111.04.11,111.04.14
1454,台富,股東常會,公司活動,111.04.14,111.04.19
1464,得力,股東常會,公司活動,111.04.11,111.04.14
1473,台南,股東常會,公司活動,111.04.14,111.04.19
1526,日馳,股東常會,公司活動,111.04.11,111.04.14
1537,廣隆,股東常會,公司活動,111.04.11,111.04.14
1583,程泰,股東常會,公司活動,111.04.11,111.04.14
1589,永冠-KY,股東常會,公司活動,111.04.11,111.04.14
1604,聲寶,股東常會,公司活動,111.04.11,111.04.14
1709,和益,股東常會,公司活動,111.04.11,111.04.14
1905,華紙,股東常會,公司活動,111.04.11,111.04.14
2002,中鋼,股東常會,公司活動,111.04.11,111.04.14
2027,大成鋼,股東常會,公司活動,111.04.14,111.04.19
2028,威致,股東常會,公司活動,111.04.14,111.04.19
2029,盛餘,股東常會,公司活動,111.04.11,111.04.14
2103,台橡,股東常會,公司活動,111.04.11,111.04.14
2201,裕隆,股東常會,公司活動,111.04.11,111.04.14
2236,百達-KY,股東常會,公司活動,111.04.14,111.04.19
2247,汎德永業,股東常會,公司活動,111.04.11,111.04.14
2323,中環,股東常會,公司活動,111.04.11,111.04.14
2348,海悅,股東常會,公司活動,111.04.11,111.04.14
2382,廣達,股東常會,公司活動,111.04.11,111.04.14
2387,精元,股東常會,公司活動,111.04.11,111.04.14
2388,威盛,股東常會,公司活動,111.04.11,111.04.14
2393,億光,股東常會,公司活動,111.04.11,111.04.14
2397,友通,股東常會,公司活動,111.04.11,111.04.14
2409,友達,股東常會,公司活動,111.04.11,111.04.14
2413,環科,股東常會,公司活動,111.04.14,111.04.19
2427,三商電,股東常會,公司活動,111.04.11,111.04.14
2451,創見,股東常會,公司活動,111.04.11,111.04.14
2459,敦吉,股東常會,公司活動,111.04.11,111.04.14
2462,良得電,股東常會,公司活動,111.04.11,111.04.14
2491,吉祥全,股東常會,公司活動,111.04.11,111.04.14
2498,宏達電,股東常會,公司活動,111.04.11,111.04.14
2501,國建,股東常會,公司活動,111.04.11,111.04.14
2505,國揚,股東常會,公司活動,111.04.11,111.04.14
2511,太子,股東常會,公司活動,111.04.11,111.04.14
2801,彰銀,股東常會,公司活動,111.04.11,111.04.14
2820,華票,股東常會,公司活動,111.04.11,111.04.14
2834,臺企銀,股東常會,公司活動,111.04.11,111.04.14
2849,安泰銀,股東常會,公司活動,111.04.11,111.04.14
2867,三商壽,股東常會,公司活動,111.04.11,111.04.14
2880,華南金,股東常會,公司活動,111.04.11,111.04.14
2881,富邦金,股東常會,公司活動,111.04.11,111.04.14
2882,國泰金,股東常會,公司活動,111.04.11,111.04.14
2883,凱基金,股東常會,公司活動,111.04.11,111.04.14
2884,玉山金,股東常會,公司活動,111.04.11,111.04.14
2886,兆豐金,股東常會,公司活動,111.04.11,111.04.14
2887,台新金,股東常會,公司活動,111.04.11,111.04.14
2891,中信金,股東常會,公司活動,111.04.11,111.04.14
2892,第一金,股東常會,公司活動,111.04.11,111.04.14
2897,王道銀行,股東常會,公司活動,111.04.11,111.04.14
2939,永邑-KY,股東常會,公司活動,111.04.14,111.04.19
3013,晟銘電,股東常會,公司活動,111.04.11,111.04.14
3017,奇鋐,股東常會,公司活動,111.04.11,111.04.14
3038,全台,股東常會,公司活動,111.04.11,111.04.14
3040,遠見,股東常會,公司活動,111.04.11,111.04.14
3052,夆典,股東常會,公司活動,111.04.11,111.04.14
3059,華晶科,股東常會,公司活動,111.04.11,111.04.14
3231,緯創,股東常會,公司活動,111.04.11,111.04.14
3406,玉晶光,股東常會,公司活動,111.04.11,111.04.14
3454,晶睿,股東常會,公司活動,111.04.11,111.04.14
3504,揚明光,股東常會,公司活動,111.04.11,111.04.14
3532,台勝科,股東常會,公司活動,111.04.11,111.04.14
3533,嘉澤,股東常會,公司活動,111.04.11,111.04.14
3712,永崴投控,股東常會,公司活動,111.04.11,111.04.14
4106,雃博,股東常會,公司活動,111.04.14,111.04.19
4306,炎洲,股東常會,公司活動,111.04.11,111.04.14
4552,力達-KY,股東常會,公司活動,111.04.11,111.04.14
4755,三福化,股東常會,公司活動,111.04.11,111.04.14
5225,東科-KY,股東常會,公司活動,111.04.11,111.04.14
5876,上海商銀,股東常會,公司活動,111.04.11,111.04.14
5880,合庫金,股東常會,公司活動,111.04.11,111.04.14
6141,柏承,股東常會,公司活動,111.04.11,111.04.14
6183,關貿,股東常會,公司活動,111.04.11,111.04.14
6209,今國光,股東常會,公司活動,111.04.11,111.04.14
6230,尼得科超眾,股東常會,公司活動,111.04.14,111.04.19
6277,宏正,股東常會,公司活動,111.04.11,111.04.14
6278,台表科,股東常會,公司活動,111.04.11,111.04.14
6281,全國電,股東常會,公司活動,111.04.11,111.04.14
6409,旭隼,股東常會,公司活動,111.04.11,111.04.14
6672,騰輝電子-KY,股東常會,公司活動,111.04.11,111.04.14
6756,威鋒電子,股東常會,公司活動,111.04.11,111.04.14
8070,長華*,股東常會,公司活動,111.04.11,111.04.14
8112,至上,股東常會,公司活動,111.04.11,111.04.14
8481,政伸,股東常會,公司活動,111.04.11,111.04.14
8488,吉源-KY,股東常會,公司活動,111.04.11,111.04.14
9910,豐泰,股東常會,公司活動,111.04.11,111.04.14
9911,櫻花,股東常會,公司活動,111.04.11,111.04.14
9918,欣天然,股東常會,公司活動,111.04.11,111.04.14
9939,宏全,股東常會,公司活動,111.04.11,111.04.14
9944,新麗,股東常會,公司活動,111.04.11,111.04.14
