stock_id,stock_name,reason,category,start_date,end_date
1342,八貫,股東常會,公司活動,112.03.10,112.03.15
1342,八貫,除息,股利發放,112.03.10,112.03.15
1708,東鹼,股東常會,公司活動,112.03.10,112.03.15
1712,興農,除息,股利發放,112.03.10,112.03.15
1773,勝一,股東常會,公司活動,112.03.10,112.03.15
2301,光寶科,股東常會,公司活動,112.03.10,112.03.15
2301,光寶科,除息,股利發放,112.03.10,112.03.15
2330,台積電,除息,股利發放,112.03.10,112.03.15
2642,宅配通,股東常會,公司活動,112.03.10,112.03.15
2812,台中銀,股東常會,公司活動,112.03.09,112.03.14
3008,大立光,除息,股利發放,112.03.10,112.03.15
3443,創意,股東常會,公司活動,112.03.10,112.03.15
3715,定穎投控,股東常會,公司活動,112.03.10,112.03.15
4133,亞諾法,股東常會,公司活動,112.03.09,112.03.14
4440,宜新實業,股東常會,公司活動,112.03.10,112.03.15
5283,禾聯碩,除息,股利發放,112.03.10,112.03.15
5306,桂盟,除息,股利發放,112.03.09,112.03.14
8261,富鼎,股東常會,公司活動,112.03.10,112.03.15
9802,鈺齊-KY,除息,股利發放,112.03.10,112.03.15
9940,信義,股東常會,公司活動,112.03.10,112.03.15
