stock_id,stock_name,reason,category,start_date,end_date
1103,嘉泥,除息,股利發放,111.07.29,111.08.03
1109,信大,除息,股利發放,111.07.29,111.08.03
1216,統一,除息,股利發放,111.07.29,111.08.03
1455,集盛,除息,股利發放,111.08.03,111.08.08
1530,亞崴,除息,股利發放,111.07.29,111.08.03
1589,永冠-KY,除息,股利發放,111.07.29,111.08.03
1713,國化,除息,股利發放,111.07.29,111.08.03
1714,和桐,除息,股利發放,111.07.29,111.08.03
1795,美時,除息,股利發放,111.07.29,111.08.03
2023,燁輝,除息,股利發放,111.08.03,111.08.08
2342,茂矽,除息,股利發放,111.07.29,111.08.03
2345,智邦,除息,股利發放,111.07.29,111.08.03
2358,廷鑫,現金增資,資本活動,111.08.03,111.08.08
2369,菱生,除息,股利發放,111.07.29,111.08.03
2376,技嘉,除息,股利發放,111.07.29,111.08.03
2430,燦坤,減資,資本活動,111.07.29,111.08.03
2534,宏盛,除息,股利發放,111.08.02,111.08.05
2547,日勝生,除息,股利發放,111.08.03,111.08.08
2611,志信,除權息,股利發放,111.07.29,111.08.03
2618,長榮航,除息,股利發放,111.07.29,111.08.03
2816,旺旺保,除息,股利發放,111.07.29,111.08.03
2892,第一金,除權息,股利發放,111.07.29,111.08.03
2915,潤泰全,除息,股利發放,111.08.03,111.08.08
3712,永崴投控,除息,股利發放,111.07.29,111.08.03
4766,南寶,除息,股利發放,111.07.29,111.08.03
4961,天鈺,除息,股利發放,111.07.29,111.08.03
5469,瀚宇博,除息,股利發放,111.08.03,111.08.08
5519,隆大,除息,股利發放,111.08.02,111.08.05
5607,遠雄港,除息,股利發放,111.08.02,111.08.05
6191,精成科,除息,股利發放,111.08.03,111.08.08
6201,亞弘電,除息,股利發放,111.07.29,111.08.03
6202,盛群,除息,股利發放,111.08.03,111.08.08
8103,瀚荃,除息,股利發放,111.08.01,111.08.04
8480,泰昇-KY,除息,股利發放,111.08.02,111.08.05
9942,茂順,除息,股利發放,111.08.03,111.08.08
