stock_id,stock_name,reason,category,start_date,end_date
1232,大統益,除息,股利發放,111.06.21,111.06.24
1314,中石化,除息,股利發放,111.06.21,111.06.24
1326,台化,除息,股利發放,111.06.22,111.06.27
1437,勤益控,除息,股利發放,111.06.21,111.06.24
1536,和大,除息,股利發放,111.06.22,111.06.27
1598,岱宇,除息,股利發放,111.06.21,111.06.24
1731,美吾華,除息,股利發放,111.06.22,111.06.27
1752,南光,除息,股利發放,111.06.23,111.06.28
1760,寶齡富錦,除息,股利發放,111.06.21,111.06.24
1773,勝一,除權息,股利發放,111.06.23,111.06.28
1802,台玻,除息,股利發放,111.06.22,111.06.27
1904,正隆,除息,股利發放,111.06.22,111.06.27
2032,新鋼,除息,股利發放,111.06.23,111.06.28
2308,台達電,除息,股利發放,111.06.23,111.06.28
2362,藍天,除息,股利發放,111.06.20,111.06.23
2368,金像電,除息,股利發放,111.06.21,111.06.24
2375,凱美,除息,股利發放,111.06.23,111.06.28
2404,漢唐,除息,股利發放,111.06.22,111.06.27
2421,建準,除息,股利發放,111.06.22,111.06.27
2496,卓越,除息,股利發放,111.06.20,111.06.23
2603,長榮,除息,股利發放,111.06.23,111.06.28
2606,裕民,除息,股利發放,111.06.21,111.06.24
2609,陽明,除息,股利發放,111.06.21,111.06.24
2885,元大金,除息,股利發放,111.06.22,111.06.27
2887,台新金,其他,其他活動,111.06.22,111.06.27
2888,新光金,除息,股利發放,111.06.22,111.06.27
2889,國票金,除息,股利發放,111.06.23,111.06.28
3010,華立,除息,股利發放,111.06.21,111.06.24
3015,全漢,除息,股利發放,111.06.21,111.06.24
3031,佰鴻,除息,股利發放,111.06.20,111.06.23
3056,富華新,現金增資,資本活動,111.06.23,111.06.28
3164,景岳,除息,股利發放,111.06.20,111.06.23
3413,京鼎,除息,股利發放,111.06.22,111.06.27
3416,融程電,除息,股利發放,111.06.21,111.06.24
3711,日月光投控,除息,股利發放,111.06.23,111.06.28
4557,永新-KY,除息,股利發放,111.06.21,111.06.24
4722,國精化,除息,股利發放,111.06.22,111.06.27
4739,康普,除息,股利發放,111.06.20,111.06.23
5906,台南-KY,除息,股利發放,111.06.23,111.06.28
6176,瑞儀,除息,股利發放,111.06.20,111.06.23
6288,聯嘉,除息,股利發放,111.06.20,111.06.23
6579,研揚,除息,股利發放,111.06.20,111.06.23
6591,動力-KY,除息,股利發放,111.06.22,111.06.27
8046,南電,除息,股利發放,111.06.23,111.06.28
8081,致新,除息,股利發放,111.06.23,111.06.28
8150,南茂,除息,股利發放,111.06.23,111.06.28
