stock_id,stock_name,reason,category,start_date,end_date
1515,力山,除息,股利發放,111.06.02,111.06.08
1568,倉佑,除息,股利發放,111.06.02,111.06.08
2347,聯強,除息,股利發放,111.06.02,111.06.08
2419,仲琦,除息,股利發放,111.06.01,111.06.07
2636,台驊控股,除息,股利發放,111.06.06,111.06.09
2637,慧洋-KY,除息,股利發放,111.06.01,111.06.07
3030,德律,除息,股利發放,111.06.06,111.06.09
4440,宜新實業,除息,股利發放,111.06.06,111.06.09
4571,鈞興-KY,除息,股利發放,111.06.02,111.06.08
5434,崇越,除息,股利發放,111.06.02,111.06.08
5533,皇鼎,除息,股利發放,111.06.02,111.06.08
6491,晶碩,除息,股利發放,111.06.02,111.06.08
9940,信義,除息,股利發放,111.06.01,111.06.07
