stock_id,stock_name,reason,category,start_date,end_date
1714,和桐,除息,股利發放,112.08.09,112.08.14
1726,永記,除息,股利發放,112.08.09,112.08.14
2301,光寶科,除息,股利發放,112.08.10,112.08.15
2885,元大金,除權,股利發放,112.08.07,112.08.10
2892,第一金,除權息,股利發放,112.08.07,112.08.10
3617,碩天,除權息,股利發放,112.08.10,112.08.15
5203,訊連,除息,股利發放,112.08.07,112.08.10
5288,豐祥-KY,除息,股利發放,112.08.07,112.08.10
6189,豐藝,除息,股利發放,112.08.07,112.08.10
6202,盛群,除息,股利發放,112.08.10,112.08.15
8112,至上,現金增資,資本活動,112.08.09,112.08.14
8442,威宏-KY,除息,股利發放,112.08.09,112.08.14
8454,富邦媒,除權,股利發放,112.08.09,112.08.14
