stock_id,stock_name,reason,category,start_date,end_date
1210,大成,除權息,股利發放,110.08.17,110.08.20
1220,台榮,除息,股利發放,110.08.18,110.08.23
1231,聯華食,除權,股利發放,110.08.16,110.08.19
1232,大統益,除息,股利發放,110.08.18,110.08.23
1234,黑松,除息,股利發放,110.08.18,110.08.23
1423,利華,除息,股利發放,110.08.16,110.08.19
1558,伸興,除息,股利發放,110.08.16,110.08.19
1709,和益,除息,股利發放,110.08.19,110.08.24
1726,永記,除息,股利發放,110.08.19,110.08.24
1776,展宇,除息,股利發放,110.08.19,110.08.24
1817,凱撒衛,除息,股利發放,110.08.17,110.08.20
2015,豐興,除息,股利發放,110.08.16,110.08.19
2033,佳大,除息,股利發放,110.08.19,110.08.24
2038,海光,除息,股利發放,110.08.19,110.08.24
2103,台橡,除息,股利發放,110.08.19,110.08.24
2107,厚生,除息,股利發放,110.08.18,110.08.23
2241,艾姆勒,除息,股利發放,110.08.16,110.08.19
2377,微星,除息,股利發放,110.08.17,110.08.20
2412,中華電,除息,股利發放,110.08.19,110.08.24
2439,美律,除息,股利發放,110.08.19,110.08.24
2471,資通,除息,股利發放,110.08.17,110.08.20
2495,普安,除息,股利發放,110.08.19,110.08.24
2511,太子,除息,股利發放,110.08.18,110.08.23
2527,宏璟,除息,股利發放,110.08.17,110.08.20
2536,宏普,除息,股利發放,110.08.18,110.08.23
2545,皇翔,除息,股利發放,110.08.17,110.08.20
2547,日勝生,除息,股利發放,110.08.19,110.08.24
2727,王品,除息,股利發放,110.08.17,110.08.20
3017,奇鋐,除息,股利發放,110.08.18,110.08.23
3022,威強電,除息,股利發放,110.08.18,110.08.23
3023,信邦,除息,股利發放,110.08.16,110.08.19
3042,晶技,除息,股利發放,110.08.16,110.08.19
3045,台灣大,除息,股利發放,110.08.17,110.08.20
3413,京鼎,除息,股利發放,110.08.19,110.08.24
3454,晶睿,除息,股利發放,110.08.18,110.08.23
4119,旭富,除權息,股利發放,110.08.17,110.08.20
4560,強信-KY,除息,股利發放,110.08.17,110.08.20
4576,大銀微系統,除息,股利發放,110.08.16,110.08.19
4942,嘉彰,除息,股利發放,110.08.16,110.08.19
5243,乙盛-KY,除息,股利發放,110.08.19,110.08.24
6108,競國,除息,股利發放,110.08.19,110.08.24
6116,彩晶,除息,股利發放,110.08.17,110.08.20
6177,達麗,除權,股利發放,110.08.18,110.08.23
6183,關貿,除息,股利發放,110.08.19,110.08.24
6189,豐藝,除息,股利發放,110.08.17,110.08.20
6215,和椿,除息,股利發放,110.08.17,110.08.20
6409,旭隼,除息,股利發放,110.08.16,110.08.19
6605,帝寶,除息,股利發放,110.08.18,110.08.23
6715,嘉基,除息,股利發放,110.08.19,110.08.24
8163,達方,除息,股利發放,110.08.17,110.08.20
8463,潤泰材,其他,其他活動,110.08.19,110.08.24
8463,潤泰材,其它利益,其他活動,110.08.19,110.08.24
8926,台汽電,除息,股利發放,110.08.17,110.08.20
9902,台火,除息,股利發放,110.08.17,110.08.20
9921,巨大,除息,股利發放,110.08.17,110.08.20
9927,泰銘,除息,股利發放,110.08.19,110.08.24
9933,中鼎,除息,股利發放,110.08.16,110.08.19
9941,裕融,除權息,股利發放,110.08.18,110.08.23
