stock_id,stock_name,reason,category,start_date,end_date
1203,味王,除息,股利發放,113.08.30,113.09.04
1465,偉全,除息,股利發放,113.09.04,113.09.09
1514,亞力,除權息,股利發放,113.09.03,113.09.06
2379,瑞昱,除息,股利發放,113.08.30,113.09.04
2881,富邦金,除權,股利發放,113.09.03,113.09.06
3312,弘憶股,除息,股利發放,113.08.30,113.09.04
4155,訊映,除息,股利發放,113.08.30,113.09.04
4736,泰博,除息,股利發放,113.09.03,113.09.06
5871,中租-KY,現金增資,資本活動,113.08.30,113.09.04
5906,台南-KY,除權息,股利發放,113.08.30,113.09.04
6552,易華電,除息,股利發放,113.09.02,113.09.05
9906,欣巴巴,除權,股利發放,113.09.04,113.09.09
9946,三發地產,除息,股利發放,113.08.30,113.09.04
