stock_id,stock_name,reason,category,start_date,end_date
1215,卜蜂,除息,股利發放,110.06.22,110.06.25
1315,達新,除息,股利發放,110.06.25,110.06.30
1319,東陽,除息,股利發放,110.06.22,110.06.25
1437,勤益控,除息,股利發放,110.06.23,110.06.28
1909,榮成,除息,股利發放,110.06.25,110.06.30
2301,光寶科,除息,股利發放,110.06.23,110.06.28
2353,宏��,除息,股利發放,110.06.24,110.06.29
2359,所羅門,除息,股利發放,110.06.22,110.06.25
2506,太設,除息,股利發放,110.06.23,110.06.28
3015,全漢,除息,股利發放,110.06.23,110.06.28
3021,鴻名,除息,股利發放,110.06.25,110.06.30
3515,華擎,除息,股利發放,110.06.24,110.06.29
3528,安馳,除息,股利發放,110.06.25,110.06.30
3583,辛耘,除息,股利發放,110.06.22,110.06.25
3703,欣陸,除息,股利發放,110.06.25,110.06.30
4938,和碩,除息,股利發放,110.06.24,110.06.29
4958,臻鼎-KY,除息,股利發放,110.06.24,110.06.29
4999,鑫禾,除息,股利發放,110.06.25,110.06.30
5215,科嘉-KY,除息,股利發放,110.06.23,110.06.28
6197,佳必琪,除息,股利發放,110.06.23,110.06.28
6282,康舒,除息,股利發放,110.06.22,110.06.25
6698,旭暉應材,除息,股利發放,110.06.25,110.06.30
8213,志超,除息,股利發放,110.06.23,110.06.28
