stock_id,stock_name,reason,category,start_date,end_date
1203,味王,除息,股利發放,111.08.26,111.08.31
1315,達新,除息,股利發放,111.08.30,111.09.02
1533,車王電,除息,股利發放,111.08.30,111.09.02
2106,建大,除息,股利發放,111.08.30,111.09.02
2375,凱美,減資,資本活動,111.08.26,111.08.31
2415,錩新,除權息,股利發放,111.08.25,111.08.30
2436,偉詮電,除息,股利發放,111.08.26,111.08.31
2465,麗臺,除權息,股利發放,111.08.26,111.08.31
2474,可成,除息,股利發放,111.08.30,111.09.02
2489,瑞軒,除權息,股利發放,111.08.26,111.08.31
2539,櫻花建,除權息,股利發放,111.08.25,111.08.30
3653,健策,除權,股利發放,111.08.26,111.08.31
4540,全球傳動,除息,股利發放,111.08.30,111.09.02
4555,氣立,除息,股利發放,111.08.25,111.08.30
4807,日成-KY,除息,股利發放,111.08.30,111.09.02
5283,禾聯碩,除息,股利發放,111.08.29,111.09.01
5288,豐祥-KY,除息,股利發放,111.08.26,111.08.31
