stock_id,stock_name,reason,category,start_date,end_date
1473,台南,除息,股利發放,110.09.27,110.09.30
1474,弘裕,除息,股利發放,110.09.30,110.10.05
1736,喬山,除息,股利發放,110.09.28,110.10.01
1786,科妍,除權息,股利發放,110.09.28,110.10.01
2034,允強,除息,股利發放,110.09.29,110.10.04
2342,茂矽,除息,股利發放,110.09.27,110.09.30
2706,第一店,除息,股利發放,110.09.30,110.10.05
2889,國票金,除權,股利發放,110.09.30,110.10.05
2915,潤泰全,除權,股利發放,110.09.28,110.10.01
3432,台端,除息,股利發放,110.09.30,110.10.05
5608,四維航,現金增資,資本活動,110.09.28,110.10.01
6414,樺漢,除息,股利發放,110.09.28,110.10.01
8488,吉源-KY,除息,股利發放,110.09.30,110.10.05
9918,欣天然,除息,股利發放,110.09.27,110.09.30
9935,慶豐富,除息,股利發放,110.09.30,110.10.05
