stock_id,stock_name,reason,category,start_date,end_date
1108,幸福,除息,股利發放,112.08.22,112.08.25
1225,福懋油,除權息,股利發放,112.08.22,112.08.25
1324,地球,除息,股利發放,112.08.21,112.08.24
1419,新紡,除息,股利發放,112.08.18,112.08.23
1453,大將,除權,股利發放,112.08.22,112.08.25
1454,台富,除息,股利發放,112.08.18,112.08.23
1464,得力,除權息,股利發放,112.08.18,112.08.23
1514,亞力,除權息,股利發放,112.08.22,112.08.25
1527,鑽全,除息,股利發放,112.08.18,112.08.23
1528,恩德,除息,股利發放,112.08.21,112.08.24
1539,巨庭,除息,股利發放,112.08.22,112.08.25
1541,錩泰,除息,股利發放,112.08.18,112.08.23
1603,華電,除息,股利發放,112.08.22,112.08.25
1615,大山,除權,股利發放,112.08.21,112.08.24
1709,和益,除息,股利發放,112.08.18,112.08.23
1722,台肥,除息,股利發放,112.08.21,112.08.24
2038,海光,除權,股利發放,112.08.22,112.08.25
2059,川湖,除息,股利發放,112.08.23,112.08.28
2201,裕隆,除息,股利發放,112.08.18,112.08.23
2328,廣宇,除息,股利發放,112.08.21,112.08.24
2377,微星,除息,股利發放,112.08.22,112.08.25
2383,台光電,除息,股利發放,112.08.18,112.08.23
2402,毅嘉,除息,股利發放,112.08.18,112.08.23
2428,興勤,除息,股利發放,112.08.18,112.08.23
2441,超豐,除息,股利發放,112.08.23,112.08.28
2442,新美齊,除權息,股利發放,112.08.22,112.08.25
2462,良得電,除權息,股利發放,112.08.22,112.08.25
2527,宏璟,除息,股利發放,112.08.18,112.08.23
2539,櫻花建,除權息,股利發放,112.08.18,112.08.23
2702,華園,除權息,股利發放,112.08.18,112.08.23
2905,三商,現金增資,資本活動,112.08.23,112.08.28
3017,奇鋐,除息,股利發放,112.08.21,112.08.24
3025,星通,除息,股利發放,112.08.22,112.08.25
3052,夆典,除權息,股利發放,112.08.22,112.08.25
3312,弘憶股,除息,股利發放,112.08.18,112.08.23
3419,譁裕,除息,股利發放,112.08.18,112.08.23
3704,合勤控,除息,股利發放,112.08.21,112.08.24
4104,佳醫,除權,股利發放,112.08.22,112.08.25
4438,廣越,除息,股利發放,112.08.23,112.08.28
4572,駐龍,除權息,股利發放,112.08.18,112.08.23
4739,康普,現金增資,資本活動,112.08.23,112.08.28
4746,台耀,除息,股利發放,112.08.18,112.08.23
5243,乙盛-KY,除息,股利發放,112.08.23,112.08.28
5525,順天,除權息,股利發放,112.08.21,112.08.24
5534,長虹,除息,股利發放,112.08.22,112.08.25
6108,競國,除息,股利發放,112.08.18,112.08.23
6153,嘉聯益,除息,股利發放,112.08.21,112.08.24
6168,宏齊,除息,股利發放,112.08.23,112.08.28
6230,尼得科超眾,除息,股利發放,112.08.18,112.08.23
6666,羅麗芬-KY,除息,股利發放,112.08.18,112.08.23
8105,凌巨,除息,股利發放,112.08.21,112.08.24
9105,泰金寶-DR,除息,股利發放,112.08.23,112.08.28
9921,巨大,除息,股利發放,112.08.21,112.08.24
9946,三發地產,除息,股利發放,112.08.21,112.08.24
