stock_id,stock_name,reason,category,start_date,end_date
1101,台泥,除息,股利發放,112.07.05,112.07.10
1210,大成,除息,股利發放,112.07.05,112.07.10
1219,福壽,除權息,股利發放,112.07.05,112.07.10
1220,台榮,除息,股利發放,112.07.05,112.07.10
1234,黑松,除息,股利發放,112.07.04,112.07.07
1442,名軒,除息,股利發放,112.06.30,112.07.05
1452,宏益,除息,股利發放,112.07.04,112.07.07
1455,集盛,除息,股利發放,112.06.30,112.07.05
1612,宏泰,除息,股利發放,112.07.04,112.07.07
1618,合機,除息,股利發放,112.07.05,112.07.10
1708,東鹼,除息,股利發放,112.06.30,112.07.05
1789,神隆,除息,股利發放,112.06.30,112.07.05
1906,寶隆,除息,股利發放,112.06.30,112.07.05
2031,新光鋼,除息,股利發放,112.06.30,112.07.05
2049,上銀,除息,股利發放,112.06.30,112.07.05
2069,運錩,除息,股利發放,112.07.05,112.07.10
2302,麗正,除息,股利發放,112.07.05,112.07.10
2359,所羅門,除息,股利發放,112.07.04,112.07.07
2360,致茂,除息,股利發放,112.07.03,112.07.06
2363,矽統,除息,股利發放,112.07.03,112.07.06
2373,震旦行,除息,股利發放,112.07.03,112.07.06
2387,精元,除息,股利發放,112.07.05,112.07.10
2397,友通,除息,股利發放,112.06.30,112.07.05
2401,凌陽,除息,股利發放,112.07.05,112.07.10
2419,仲琦,除息,股利發放,112.06.30,112.07.05
2433,互盛電,除息,股利發放,112.06.30,112.07.05
2451,創見,除息,股利發放,112.06.30,112.07.05
2478,大毅,除息,股利發放,112.06.30,112.07.05
2493,揚博,除息,股利發放,112.07.05,112.07.10
2597,潤弘,除息,股利發放,112.07.04,112.07.07
2606,裕民,除息,股利發放,112.06.30,112.07.05
2610,華航,除息,股利發放,112.07.04,112.07.07
2633,台灣高鐵,除息,股利發放,112.07.05,112.07.10
2634,漢翔,除息,股利發放,112.07.05,112.07.10
2845,遠東銀,除息,股利發放,112.06.30,112.07.05
2904,匯僑,除息,股利發放,112.06.30,112.07.05
3016,嘉晶,除息,股利發放,112.06.30,112.07.05
3028,增你強,除息,股利發放,112.07.05,112.07.10
3031,佰鴻,除息,股利發放,112.07.05,112.07.10
3034,聯詠,除息,股利發放,112.07.05,112.07.10
3038,全台,除息,股利發放,112.07.04,112.07.07
3055,蔚華科,除息,股利發放,112.07.05,112.07.10
3090,日電貿,除息,股利發放,112.06.30,112.07.05
3305,昇貿,除息,股利發放,112.06.30,112.07.05
3532,台勝科,除息,股利發放,112.07.05,112.07.10
3591,艾笛森,除息,股利發放,112.07.04,112.07.07
4104,佳醫,除息,股利發放,112.07.05,112.07.10
4148,全宇生技-KY,除息,股利發放,112.07.04,112.07.07
4755,三福化,除息,股利發放,112.06.30,112.07.05
4807,日成-KY,除息,股利發放,112.07.04,112.07.07
5215,科嘉-KY,除息,股利發放,112.07.04,112.07.07
5284,jpp-KY,除息,股利發放,112.07.04,112.07.07
5876,上海商銀,除息,股利發放,112.06.30,112.07.05
6115,鎰勝,除息,股利發放,112.07.03,112.07.06
6128,上福,除息,股利發放,112.06.30,112.07.05
6136,富爾特,除息,股利發放,112.07.03,112.07.06
6196,帆宣,除息,股利發放,112.07.04,112.07.07
6213,聯茂,除息,股利發放,112.07.04,112.07.07
6515,穎崴,除息,股利發放,112.07.05,112.07.10
6641,基士德-KY,除息,股利發放,112.06.30,112.07.05
6776,展�眥篕�,除息,股利發放,112.06.30,112.07.05
6792,詠業,除息,股利發放,112.07.05,112.07.10
6796,晉弘,除息,股利發放,112.07.04,112.07.07
6799,來頡,除息,股利發放,112.06.30,112.07.05
8039,台虹,除息,股利發放,112.07.03,112.07.06
8112,至上,除息,股利發放,112.06.30,112.07.05
8114,振樺電,除息,股利發放,112.06.30,112.07.05
8163,達方,除息,股利發放,112.07.05,112.07.10
8367,建新國際,除息,股利發放,112.07.05,112.07.10
8422,可寧衛,除息,股利發放,112.06.30,112.07.05
8462,柏文,除息,股利發放,112.07.03,112.07.06
8463,潤泰材,除息,股利發放,112.07.04,112.07.07
8482,商億-KY,除息,股利發放,112.06.30,112.07.05
9907,統一實,除息,股利發放,112.06.30,112.07.05
9933,中鼎,除息,股利發放,112.06.30,112.07.05
9935,慶豐富,除息,股利發放,112.07.04,112.07.07
