stock_id,stock_name,reason,category,start_date,end_date
1104,環泥,除息,股利發放,110.08.10,110.08.13
1219,福壽,除息,股利發放,110.08.10,110.08.13
1312,國喬,除息,股利發放,110.08.12,110.08.17
1324,地球,除息,股利發放,110.08.11,110.08.16
1446,宏和,除息,股利發放,110.08.09,110.08.12
1464,得力,除息,股利發放,110.08.09,110.08.12
1476,儒鴻,除息,股利發放,110.08.09,110.08.12
1516,川飛,除權息,股利發放,110.08.10,110.08.13
1582,信錦,除息,股利發放,110.08.11,110.08.16
1733,五鼎,除息,股利發放,110.08.11,110.08.16
1773,勝一,除權息,股利發放,110.08.09,110.08.12
1904,正隆,除息,股利發放,110.08.11,110.08.16
2301,光寶科,除息,股利發放,110.08.10,110.08.13
2399,映泰,除息,股利發放,110.08.11,110.08.16
2401,凌陽,除息,股利發放,110.08.11,110.08.16
2425,承啟,除息,股利發放,110.08.09,110.08.12
2455,全新,除息,股利發放,110.08.09,110.08.12
2464,盟立,除息,股利發放,110.08.10,110.08.13
2501,國建,除息,股利發放,110.08.11,110.08.16
2538,基泰,除息,股利發放,110.08.11,110.08.16
2603,長榮,除息,股利發放,110.08.12,110.08.17
2633,台灣高鐵,除息,股利發放,110.08.10,110.08.13
2823,中壽,除息,股利發放,110.08.09,110.08.12
2891,中信金,除息,股利發放,110.08.10,110.08.13
2905,三商,除息,股利發放,110.08.10,110.08.13
3013,晟銘電,除息,股利發放,110.08.10,110.08.13
3034,聯詠,除息,股利發放,110.08.11,110.08.16
3130,一零四,除息,股利發放,110.08.10,110.08.13
3296,勝德,除息,股利發放,110.08.12,110.08.17
3450,聯鈞,除息,股利發放,110.08.11,110.08.16
3591,艾笛森,除息,股利發放,110.08.09,110.08.12
3645,達邁,除息,股利發放,110.08.11,110.08.16
4536,拓凱,除息,股利發放,110.08.09,110.08.12
4919,新唐,除息,股利發放,110.08.10,110.08.13
5515,建國,除息,股利發放,110.08.10,110.08.13
5607,遠雄港,除息,股利發放,110.08.10,110.08.13
6153,嘉聯益,除息,股利發放,110.08.09,110.08.12
6191,精成科,除息,股利發放,110.08.10,110.08.13
6257,矽格,除息,股利發放,110.08.10,110.08.13
6278,台表科,除息,股利發放,110.08.11,110.08.16
6531,愛普*,除息,股利發放,110.08.10,110.08.13
8039,台虹,除息,股利發放,110.08.09,110.08.12
8499,鼎炫-KY,除息,股利發放,110.08.10,110.08.13
9929,秋雨,除息,股利發放,110.08.09,110.08.12
9942,茂順,除息,股利發放,110.08.09,110.08.12
