stock_id,stock_name,reason,category,start_date,end_date
1215,卜蜂,除息,股利發放,113.06.20,113.06.25
1449,佳和,現金增資,資本活動,113.06.20,113.06.25
1464,得力,除息,股利發放,113.06.20,113.06.25
1904,正隆,除息,股利發放,113.06.18,113.06.21
2247,汎德永業,除息,股利發放,113.06.18,113.06.21
2329,華泰,除息,股利發放,113.06.20,113.06.25
2337,旺宏,除息,股利發放,113.06.18,113.06.21
2347,聯強,除息,股利發放,113.06.18,113.06.21
2455,全新,除息,股利發放,113.06.18,113.06.21
2504,國產,除息,股利發放,113.06.19,113.06.24
2548,華固,除權息,股利發放,113.06.17,113.06.20
2809,京城銀,除息,股利發放,113.06.20,113.06.25
3026,禾伸堂,除息,股利發放,113.06.18,113.06.21
3035,智原,除息,股利發放,113.06.20,113.06.25
3231,緯創,除息,股利發放,113.06.19,113.06.24
3413,京鼎,除息,股利發放,113.06.19,113.06.24
3705,永信,除息,股利發放,113.06.18,113.06.21
3714,富采,除息,股利發放,113.06.20,113.06.25
4557,永新-KY,除息,股利發放,113.06.20,113.06.25
4739,康普,除息,股利發放,113.06.18,113.06.21
4906,正文,除息,股利發放,113.06.20,113.06.25
4952,凌通,除息,股利發放,113.06.19,113.06.24
5434,崇越,除息,股利發放,113.06.18,113.06.21
6165,浪凡,除息,股利發放,113.06.19,113.06.24
6176,瑞儀,除息,股利發放,113.06.18,113.06.21
6214,精誠,除息,股利發放,113.06.19,113.06.24
6243,迅杰,現金增資,資本活動,113.06.19,113.06.24
6438,迅得,除息,股利發放,113.06.19,113.06.24
6449,鈺邦,除息,股利發放,113.06.19,113.06.24
8016,矽創,除息,股利發放,113.06.18,113.06.21
8070,長華*,除息,股利發放,113.06.18,113.06.21
8210,勤誠,除息,股利發放,113.06.19,113.06.24
9910,豐泰,除息,股利發放,113.06.17,113.06.20
9917,中保科,除息,股利發放,113.06.18,113.06.21
9944,新麗,除息,股利發放,113.06.19,113.06.24
