stock_id,stock_name,reason,category,start_date,end_date
1102,亞泥,除息,股利發放,112.07.14,112.07.19
1104,環泥,除權息,股利發放,112.07.17,112.07.20
1227,佳格,除息,股利發放,112.07.14,112.07.19
1436,華友聯,除息,股利發放,112.07.19,112.07.24
1463,強盛新,除息,股利發放,112.07.18,112.07.21
1473,台南,除息,股利發放,112.07.14,112.07.19
1522,堤維西,除息,股利發放,112.07.14,112.07.19
1558,伸興,除息,股利發放,112.07.17,112.07.20
1701,中化,除息,股利發放,112.07.19,112.07.24
1721,三晃,除息,股利發放,112.07.17,112.07.20
1762,中化生,除息,股利發放,112.07.18,112.07.21
1905,華紙,除息,股利發放,112.07.14,112.07.19
2008,高興昌,除息,股利發放,112.07.19,112.07.24
2034,允強,除息,股利發放,112.07.14,112.07.19
2062,橋椿,除息,股利發放,112.07.19,112.07.24
2206,三陽工業,除息,股利發放,112.07.19,112.07.24
2239,英利-KY,除息,股利發放,112.07.19,112.07.24
2338,光罩,除息,股利發放,112.07.14,112.07.19
2352,佳世達,除息,股利發放,112.07.14,112.07.19
2355,敬鵬,除息,股利發放,112.07.19,112.07.24
2405,輔信,除息,股利發放,112.07.19,112.07.24
2414,精技,除息,股利發放,112.07.19,112.07.24
2471,資通,除息,股利發放,112.07.14,112.07.19
2515,中工,除息,股利發放,112.07.14,112.07.19
2534,宏盛,除息,股利發放,112.07.14,112.07.19
2617,台航,除息,股利發放,112.07.14,112.07.19
2852,第一保,除息,股利發放,112.07.18,112.07.21
2881,富邦金,除息,股利發放,112.07.14,112.07.19
3026,禾伸堂,除權息,股利發放,112.07.14,112.07.19
3051,力特,除息,股利發放,112.07.18,112.07.21
3501,維熹,除息,股利發放,112.07.19,112.07.24
3550,聯穎,除息,股利發放,112.07.18,112.07.21
3576,聯合再生,除息,股利發放,112.07.18,112.07.21
3607,谷崧,除息,股利發放,112.07.14,112.07.19
3665,貿聯-KY,除權息,股利發放,112.07.19,112.07.24
3673,TPK-KY,除息,股利發放,112.07.19,112.07.24
3702,大聯大,除息,股利發放,112.07.19,112.07.24
3712,永崴投控,除息,股利發放,112.07.19,112.07.24
4555,氣立,除息,股利發放,112.07.14,112.07.19
4581,光隆精密-KY,除息,股利發放,112.07.19,112.07.24
4737,華廣,除息,股利發放,112.07.18,112.07.21
4764,雙鍵,除息,股利發放,112.07.17,112.07.20
5607,遠雄港,除權息,股利發放,112.07.18,112.07.21
6120,達運,除息,股利發放,112.07.14,112.07.19
6477,安集,除權息,股利發放,112.07.17,112.07.20
6582,申豐,除息,股利發放,112.07.14,112.07.19
6670,復盛應用,除息,股利發放,112.07.17,112.07.20
8110,華東,除息,股利發放,112.07.14,112.07.19
8926,台汽電,除權息,股利發放,112.07.17,112.07.20
9941,裕融,除權息,股利發放,112.07.19,112.07.24
