stock_id,stock_name,reason,category,start_date,end_date
1217,愛之味,股東常會,公司活動,111.04.18,111.04.21
1434,福懋,股東常會,公司活動,111.04.18,111.04.21
1444,力麗,股東常會,公司活動,111.04.18,111.04.21
1447,力鵬,股東常會,公司活動,111.04.18,111.04.21
1449,佳和,股東常會,公司活動,111.04.18,111.04.21
1457,宜進,股東常會,公司活動,111.04.18,111.04.21
1459,聯發,股東常會,公司活動,111.04.18,111.04.21
1463,強盛新,股東常會,公司活動,111.04.21,111.04.26
1503,士電,股東常會,公司活動,111.04.18,111.04.21
1531,高林股,股東常會,公司活動,111.04.18,111.04.21
1532,勤美,股東常會,公司活動,111.04.18,111.04.21
1541,錩泰,股東常會,公司活動,111.04.21,111.04.26
1603,華電,股東常會,公司活動,111.04.18,111.04.21
1615,大山,股東常會,公司活動,111.04.21,111.04.26
1618,合機,股東常會,公司活動,111.04.21,111.04.26
1712,興農,股東常會,公司活動,111.04.18,111.04.21
1736,喬山,股東常會,公司活動,111.04.21,111.04.26
1810,和成,股東常會,公司活動,111.04.21,111.04.26
2014,中鴻,股東常會,公司活動,111.04.18,111.04.21
2049,上銀,股東常會,公司活動,111.04.21,111.04.26
2228,劍麟,股東常會,公司活動,111.04.18,111.04.21
2239,英利-KY,股東常會,公司活動,111.04.18,111.04.21
2250,IKKA-KY,股東常會,公司活動,111.04.18,111.04.21
2312,金寶,股東常會,公司活動,111.04.21,111.04.26
2324,仁寶,股東常會,公司活動,111.04.18,111.04.21
2324,仁寶,除息,股利發放,111.04.18,111.04.21
2355,敬鵬,股東常會,公司活動,111.04.18,111.04.21
2406,國碩,股東常會,公司活動,111.04.18,111.04.21
2415,錩新,股東常會,公司活動,111.04.21,111.04.26
2431,聯昌,股東常會,公司活動,111.04.18,111.04.21
2440,太空梭,股東常會,公司活動,111.04.18,111.04.21
2460,建通,股東常會,公司活動,111.04.18,111.04.21
2466,冠西電,股東常會,公司活動,111.04.18,111.04.21
2468,華經,股東常會,公司活動,111.04.18,111.04.21
2488,漢平,股東常會,公司活動,111.04.18,111.04.21
2527,宏璟,股東常會,公司活動,111.04.21,111.04.26
2601,益航,股東常會,公司活動,111.04.18,111.04.21
2611,志信,股東常會,公司活動,111.04.18,111.04.21
2706,第一店,股東常會,公司活動,111.04.18,111.04.21
2816,旺旺保,股東常會,公司活動,111.04.18,111.04.21
2903,遠百,股東常會,公司活動,111.04.18,111.04.21
2905,三商,股東常會,公司活動,111.04.18,111.04.21
2936,客思達-KY,股東常會,公司活動,111.04.21,111.04.26
3024,憶聲,股東常會,公司活動,111.04.18,111.04.21
3062,建漢,股東常會,公司活動,111.04.18,111.04.21
3138,耀登,股東常會,公司活動,111.04.21,111.04.26
3138,耀登,現金增資,資本活動,111.04.21,111.04.26
3346,麗清,股東常會,公司活動,111.04.21,111.04.26
3419,譁裕,股東常會,公司活動,111.04.21,111.04.26
3432,台端,股東常會,公司活動,111.04.21,111.04.26
3481,群創,股東常會,公司活動,111.04.18,111.04.21
3501,維熹,股東常會,公司活動,111.04.18,111.04.21
3535,晶彩科,股東常會,公司活動,111.04.18,111.04.21
3645,達邁,股東常會,公司活動,111.04.18,111.04.21
4540,全球傳動,股東常會,公司活動,111.04.21,111.04.26
4551,智伸科,股東常會,公司活動,111.04.21,111.04.26
4720,德淵,股東常會,公司活動,111.04.21,111.04.26
4960,誠美材,股東常會,公司活動,111.04.21,111.04.26
4977,眾達-KY,股東常會,公司活動,111.04.18,111.04.21
5243,乙盛-KY,股東常會,公司活動,111.04.18,111.04.21
5531,鄉林,股東常會,公司活動,111.04.18,111.04.21
6005,群益證,股東常會,公司活動,111.04.21,111.04.26
6117,迎廣,股東常會,公司活動,111.04.18,111.04.21
6139,亞翔,股東常會,公司活動,111.04.18,111.04.21
6216,居易,股東常會,公司活動,111.04.21,111.04.26
6442,光聖,股東常會,公司活動,111.04.21,111.04.26
6515,穎崴,股東常會,公司活動,111.04.18,111.04.21
6525,捷敏-KY,股東常會,公司活動,111.04.21,111.04.26
6605,帝寶,股東常會,公司活動,111.04.18,111.04.21
6674,鋐寶科技,股東常會,公司活動,111.04.21,111.04.26
6706,惠特,股東常會,公司活動,111.04.18,111.04.21
8131,福懋科,股東常會,公司活動,111.04.18,111.04.21
8222,寶一,股東常會,公司活動,111.04.21,111.04.26
8480,泰昇-KY,股東常會,公司活動,111.04.21,111.04.26
9136,巨騰-DR,股東常會,公司活動,111.04.18,111.04.21
9902,台火,股東常會,公司活動,111.04.18,111.04.21
9905,大華,股東常會,公司活動,111.04.18,111.04.21
9925,新保,股東常會,公司活動,111.04.18,111.04.21
9926,新海,股東常會,公司活動,111.04.18,111.04.21
9935,慶豐富,股東常會,公司活動,111.04.21,111.04.26
9938,百和,股東常會,公司活動,111.04.18,111.04.21
9958,世紀鋼,股東常會,公司活動,111.04.18,111.04.21
