stock_id,stock_name,reason,category,start_date,end_date
1101,台泥,除息,股利發放,112.07.05,112.07.10
1109,信大,除息,股利發放,112.07.07,112.07.12
1210,大成,除息,股利發放,112.07.05,112.07.10
1219,福壽,除權息,股利發放,112.07.05,112.07.10
1220,台榮,除息,股利發放,112.07.05,112.07.10
1231,聯華食,除權息,股利發放,112.07.07,112.07.12
1233,天仁,除息,股利發放,112.07.07,112.07.12
1236,宏亞,除息,股利發放,112.07.07,112.07.12
1423,利華,除息,股利發放,112.07.07,112.07.12
1440,南紡,除息,股利發放,112.07.07,112.07.12
1560,中砂,除息,股利發放,112.07.07,112.07.12
1608,華榮,除息,股利發放,112.07.06,112.07.11
1614,三洋電,除息,股利發放,112.07.07,112.07.12
1618,合機,除息,股利發放,112.07.05,112.07.10
1723,中碳,除息,股利發放,112.07.07,112.07.12
1734,杏輝,除息,股利發放,112.07.07,112.07.12
1907,永豐餘,除息,股利發放,112.07.07,112.07.12
2024,志聯,除息,股利發放,112.07.06,112.07.11
2029,盛餘,除息,股利發放,112.07.07,112.07.12
2032,新鋼,除息,股利發放,112.07.07,112.07.12
2069,運錩,除息,股利發放,112.07.05,112.07.10
2114,鑫永銓,除息,股利發放,112.07.07,112.07.12
2204,中華,除息,股利發放,112.07.07,112.07.12
2302,麗正,除息,股利發放,112.07.05,112.07.10
2316,楠梓電,除息,股利發放,112.07.06,112.07.11
2332,友訊,除息,股利發放,112.07.06,112.07.11
2356,英業達,除息,股利發放,112.07.06,112.07.11
2387,精元,除息,股利發放,112.07.05,112.07.10
2401,凌陽,除息,股利發放,112.07.05,112.07.10
2404,漢唐,除息,股利發放,112.07.07,112.07.12
2449,京元電子,除息,股利發放,112.07.07,112.07.12
2453,凌群,除息,股利發放,112.07.07,112.07.12
2459,敦吉,除息,股利發放,112.07.06,112.07.11
2493,揚博,除息,股利發放,112.07.05,112.07.10
2501,國建,除息,股利發放,112.07.07,112.07.12
2607,榮運,除息,股利發放,112.07.07,112.07.12
2608,嘉里大榮,除息,股利發放,112.07.07,112.07.12
2612,中航,除息,股利發放,112.07.07,112.07.12
2633,台灣高鐵,除息,股利發放,112.07.05,112.07.10
2634,漢翔,除息,股利發放,112.07.05,112.07.10
3013,晟銘電,除息,股利發放,112.07.07,112.07.12
3028,增你強,除息,股利發放,112.07.05,112.07.10
3031,佰鴻,除息,股利發放,112.07.05,112.07.10
3034,聯詠,除息,股利發放,112.07.05,112.07.10
3037,欣興,除息,股利發放,112.07.07,112.07.12
3044,健鼎,除息,股利發放,112.07.07,112.07.12
3050,鈺德,除息,股利發放,112.07.06,112.07.11
3055,蔚華科,除息,股利發放,112.07.05,112.07.10
3130,一零四,除息,股利發放,112.07.07,112.07.12
3189,景碩,除息,股利發放,112.07.07,112.07.12
3532,台勝科,除息,股利發放,112.07.05,112.07.10
3588,通嘉,除權息,股利發放,112.07.07,112.07.12
3596,智易,除息,股利發放,112.07.07,112.07.12
3652,精聯,除息,股利發放,112.07.07,112.07.12
3701,大眾控,除息,股利發放,112.07.07,112.07.12
3701,大眾控,現金增資,資本活動,112.07.07,112.07.12
3715,定穎投控,除息,股利發放,112.07.07,112.07.12
4104,佳醫,除息,股利發放,112.07.05,112.07.10
4164,承業醫,除息,股利發放,112.07.06,112.07.11
4536,拓凱,除息,股利發放,112.07.07,112.07.12
5519,隆大,除息,股利發放,112.07.07,112.07.12
6005,群益證,除息,股利發放,112.07.07,112.07.12
6166,凌華,除息,股利發放,112.07.06,112.07.11
6197,佳必琪,除息,股利發放,112.07.06,112.07.11
6278,台表科,除息,股利發放,112.07.07,112.07.12
6285,啟��,除息,股利發放,112.07.06,112.07.11
6443,元晶,現金增資,資本活動,112.07.06,112.07.11
6515,穎崴,除息,股利發放,112.07.05,112.07.10
6592,和潤企業,除權息,股利發放,112.07.07,112.07.12
6605,帝寶,除息,股利發放,112.07.06,112.07.11
6754,匯僑設計,除息,股利發放,112.07.07,112.07.12
6781,AES-KY,除息,股利發放,112.07.06,112.07.11
6792,詠業,除息,股利發放,112.07.05,112.07.10
8016,矽創,除息,股利發放,112.07.07,112.07.12
8072,陞泰,除息,股利發放,112.07.06,112.07.11
8131,福懋科,除息,股利發放,112.07.06,112.07.11
8163,達方,除息,股利發放,112.07.05,112.07.10
8367,建新國際,除息,股利發放,112.07.05,112.07.10
8374,羅昇,除息,股利發放,112.07.07,112.07.12
9904,寶成,除息,股利發放,112.07.06,112.07.11
