stock_id,stock_name,reason,start_date,end_date
1342,八貫,除息,114.03.14,114.03.19
2006,東和鋼鐵,除息,114.03.14,114.03.19
2101,南港,除息,114.03.14,114.03.19
2301,光寶科,除息,114.03.14,114.03.19
2330,台積電,除息,114.03.12,114.03.17
2430,燦坤,除息,114.03.14,114.03.19
3008,大立光,除息,114.03.14,114.03.19
3029,零壹,除息,114.03.14,114.03.19
4583,台灣精銳,除息,114.03.17,114.03.20
5306,桂盟,除息,114.03.12,114.03.17
6235,華孚,除息,114.03.17,114.03.20
6281,全國電,除息,114.03.17,114.03.20
6534,正瀚-創,除息,114.03.14,114.03.19
9105,泰金寶-DR,除息,114.03.13,114.03.18
9802,鈺齊-KY,除息,114.03.12,114.03.17
