stock_id,stock_name,reason,start_date,end_date
00690,兆豐藍籌30,分配收益,114.02.12,114.02.17
00730,富邦臺灣優質高息,分配收益,114.02.13,114.02.18
00731,復華富時高息低波,分配收益,114.02.13,114.02.18
00775B,新光投等債15+,分配收益,114.02.14,114.02.19
00878,國泰永續高股息,分配收益,114.02.14,114.02.19
00891,中信關鍵半導體,分配收益,114.02.12,114.02.17
00894,中信小資高價30,分配收益,114.02.12,114.02.17
00900,富邦特選高股息30,分配收益,114.02.13,114.02.18
00913,兆豐台灣晶圓製造,分配收益,114.02.12,114.02.17
00923,群益台ESG低碳50,分配收益,114.02.12,114.02.17
00929,復華台灣科技優息,分配收益,114.02.13,114.02.18
00932,兆豐永續高息等權,分配收益,114.02.12,114.02.17
00934,中信成長高股息,分配收益,114.02.12,114.02.17
00944,野村趨勢動能高息,分配收益,114.02.12,114.02.17
00945B,凱基美國非投等債,分配收益,114.02.12,114.02.17
