stock_id,stock_name,reason,start_date,end_date
1477,聚陽,除息,112.03.24,112.03.29
1717,長興,除息,112.03.23,112.03.28
2006,東和鋼鐵,除息,112.03.24,112.03.29
2015,豐興,除息,112.03.24,112.03.29
2108,南帝,除息,112.03.24,112.03.29
2331,精英,除息,112.03.24,112.03.29
2458,義隆,除息,112.03.24,112.03.29
2483,百容,除息,112.03.24,112.03.29
2530,華建,除息,112.03.24,112.03.29
3005,神基,除息,112.03.23,112.03.28
3706,神達,除息,112.03.23,112.03.28
4930,燦星網,除息,112.03.24,112.03.29
5007,三星,除息,112.03.22,112.03.27
5222,全訊,除息,112.03.24,112.03.29
6281,全國電,除息,112.03.24,112.03.29
6412,群電,除息,112.03.23,112.03.28
6581,鋼聯,除息,112.03.24,112.03.29
