stock_id,stock_name,reason,start_date,end_date
00690,兆豐藍籌30,分配收益,113.02.26,113.03.01
00731,復華富時高息低波,分配收益,113.02.22,113.02.27
00771,元大US高息特別股,分配收益,113.02.21,113.02.26
00775B,新光投等債15+,分配收益,113.02.23,113.02.29
00850,元大臺灣ESG永續,分配收益,113.02.21,113.02.26
00878,國泰永續高股息,分配收益,113.02.21,113.02.26
00891,中信關鍵半導體,分配收益,113.02.21,113.02.26
00894,中信小資高價30,分配收益,113.02.21,113.02.26
00900,富邦特選高股息30,分配收益,113.02.21,113.02.26
00913,兆豐台灣晶圓製造,分配收益,113.02.26,113.03.01
00923,群益台ESG低碳50,分配收益,113.02.21,113.02.26
00929,復華台灣科技優息,分配收益,113.02.22,113.02.27
