stock_id,stock_name,reason,start_date,end_date
1203,味王,除息,112.08.25,112.08.30
1235,興泰,除權息,112.08.24,112.08.29
1315,達新,除息,112.08.25,112.08.30
1409,新纖,除息,112.08.25,112.08.30
1531,高林股,除息,112.08.25,112.08.30
2059,川湖,除息,112.08.23,112.08.28
2250,IKKA-KY,除息,112.08.24,112.08.29
2367,燿華,除息,112.08.28,112.08.31
2439,美律,除息,112.08.25,112.08.30
2441,超豐,除息,112.08.23,112.08.28
2484,希華,除息,112.08.24,112.08.29
2536,宏普,除息,112.08.25,112.08.30
2834,臺企銀,除權息,112.08.25,112.08.30
3023,信邦,除息,112.08.25,112.08.30
4438,廣越,除息,112.08.23,112.08.28
4564,元翎,除息,112.08.24,112.08.29
5243,乙盛-KY,除息,112.08.23,112.08.28
5283,禾聯碩,除息,112.08.25,112.08.30
6168,宏齊,除息,112.08.23,112.08.28
6216,居易,除息,112.08.24,112.08.29
8466,美吉吉-KY,除息,112.08.25,112.08.30
9105,泰金寶-DR,除息,112.08.23,112.08.28
9958,世紀鋼,除息,112.08.25,112.08.30
