stock_id,stock_name,reason,start_date,end_date
1419,新紡,除息,111.08.05,111.08.10
1444,力麗,除息,111.08.05,111.08.10
1583,程泰,除息,111.08.05,111.08.10
2365,昆盈,除息,111.08.05,111.08.10
2387,精元,除息,111.08.05,111.08.10
2476,鉅祥,除息,111.08.05,111.08.10
2492,華新科,除息,111.08.04,111.08.09
2801,彰銀,除權息,111.08.05,111.08.10
2880,華南金,除權息,111.08.05,111.08.10
2885,元大金,除權,111.08.08,111.08.11
2886,兆豐金,除權息,111.08.05,111.08.10
2890,永豐金,除權息,111.08.04,111.08.09
3138,耀登,除息,111.08.04,111.08.09
5203,訊連,除息,111.08.05,111.08.10
5880,合庫金,除權息,111.08.04,111.08.09
6416,瑞祺電通,除息,111.08.09,111.08.12
8473,山林水,除息,111.08.05,111.08.10
9914,美利達,除息,111.08.05,111.08.10
9945,潤泰新,除息,111.08.08,111.08.11
