stock_id,stock_name,reason
1216,²Î¤@,°£®§
1216,²Î¤@,°£®§
1720,¥Í¹F,°£®§
1720,¥Í¹F,°£®§
1725,¤¸ºÕ,°£®§
1727,¤¤µØ¤Æ,°£®§
1727,¤¤µØ¤Æ,°£®§
1730,ªá¥P¤l,°£®§
1730,ªá¥P¤l,°£®§
1809,¤¤¹V,°£®§
1809,¤¤¹V,°£®§
2028,«Â­P,°£®§
2207,©M®õ¨®,°£Åv®§
2207,©M®õ¨®,°£Åv®§
2233,¦t¶©,°£®§
2233,¦t¶©,°£®§
2342,­Zª¿,°£®§
2342,­Zª¿,°£®§
2345,´¼¨¹,°£®§
2351,¶¶¼w,°£®§
2351,¶¶¼w,°£®§
2375,³Í¬ü,°£®§
2376,§Þ¹Å,°£®§
2376,§Þ¹Å,°£®§
2393,»õ¥ú,°£®§
2420,·s¥¨,°£®§
2458,¸q¶©,°£®§
2497,©É§Q¹q,°£®§
2616,¤s¶©,°£®§
2836,°ª¶¯»È,°£Åv
2890,¥ÃÂ×ª÷,°£Åv®§
2891,¤¤«Hª÷,°£®§
2891,¤¤«Hª÷,Á{®É·|
2912,²Î¤@¶W,°£®§
2912,²Î¤@¶W,°£®§
3033,«Â°·,°£®§
3060,»Ê²§,°£®§
3092,ÂEºÓ,°£Åv®§
3209,¥þ¬ì,°£®§
3209,¥þ¬ì,°£®§
3533,¹Å¿A,°£®§
3533,¹Å¿A,°£®§
4560,±j«H-KY,°£®§
4720,¼w²W,°£®§
4720,¼w²W,°£®§
4927,®õ¹©-KY,°£®§
4977,²³¹F-KY,°£®§
5546,¥Ã©T-KY,°£®§
5880,¦X®wª÷,°£Åv®§
6155,¶vÄ_,°£®§
6201,¨È¥°¹q,°£®§
6201,¨È¥°¹q,°£®§
6209,¤µ°ê¥ú,°£®§
6271,¦PªY¹q,°£Åv
6414,¾ìº~,°£®§
6414,¾ìº~,°£®§
6592,©M¼í¥ø·~,¨ä¥L
6743,¦w´¶·s,°£®§
6743,¦w´¶·s,°£®§
6807,®p·½-KY,°£®§
6807,®p·½-KY,°£®§
8021,¦yÂI,°£®§
8103,Ãv¯þ,°£®§
8104,ëäÄ_,°£®§
9910,Â×®õ,°£Åv®§
9910,Â×®õ,°£Åv®§
9938,¦Ê©M,°£®§
9938,¦Ê©M,°£®§
