stock_id,stock_name,reason
00939,²Î¤@¥xÆW°ª®§°Ê¯à,¤À°t¦¬¯q
1210,¤j¦¨,°£®§
1216,²Î¤@,°£®§
1231,ÁpµØ­¹,°£Åv®§
1434,ºÖÀ·,°£®§
1531,°ªªLªÑ,°£®§
1558,¦ù¿³,°£®§
1720,¥Í¹F,°£®§
1730,ªá¥P¤l,°£®§
1795,¬ü®É,°£®§
1809,¤¤¹V,°£®§
2027,¤j¦¨¿û,°£®§
2233,¦t¶©,°£®§
2345,´¼¨¹,°£®§
2351,¶¶¼w,°£®§
2369,µÙ¥Í,°£®§
2375,³Í¬ü,°£®§
2376,§Þ¹Å,°£®§
2393,»õ¥ú,°£®§
2409,¤Í¹F,°£®§
2481,±j­Z,°£®§
2630,¨È¯è,Á{®É·|
2748,¶³«~,°£®§
2887,¥x·sª÷,°£Åv®§
2912,²Î¤@¶W,°£®§
3051,¤O¯S,°£®§
3209,¥þ¬ì,°£®§
3694,®üµØ,°£®§
4106,Ü¦³Õ,°£®§
4942,¹Å¹ü,°£®§
5269,²»ºÓ,°£®§
6201,¨È¥°¹q,°£®§
6239,¤O¦¨,°£®§
6414,¾ìº~,°£®§
6743,¦w´¶·s,°£®§
9938,¦Ê©M,°£®§
